EquipmentID,Type,Status,Temperature,Pressure,Flowrate
EQ-0330,Separator,Operational,142.9,10.2,252.6
EQ-0331,Pump,Operational,78.7,57.7,215.4
EQ-0332,Separator,Operational,84.4,19.2,104.1
EQ-0333,Reactor,Operational,333.3,34.8,95.4
EQ-0334,Pump,Offline,77.6,129.0,408.9
EQ-0335,Reactor,Operational,239.9,19.3,105.3
EQ-0336,Reactor,Operational,287.4,44.9,82.1
EQ-0337,Heat Exchanger,Operational,203.2,10.4,148.9
EQ-0338,Reactor,Operational,323.9,27.6,114.7
EQ-0339,Reactor,Operational,221.6,48.9,131.4
EQ-0340,Pump,Operational,59.6,59.8,340.0
EQ-0341,Pump,Error,59.6,149.0,288.6
EQ-0342,Separator,Operational,83.9,17.9,163.6
EQ-0343,Heat Exchanger,Operational,181.1,22.4,228.4
EQ-0344,Pump,Operational,25.9,131.5,262.5
EQ-0345,Reactor,Operational,294.1,10.6,93.5
EQ-0346,Heat Exchanger,Offline,226.5,11.2,362.1
EQ-0347,Reactor,Offline,257.7,32.8,96.5
EQ-0348,Reactor,Maintenance,283.4,35.8,73.2
EQ-0349,Reactor,Operational,265.6,30.3,107.7
EQ-0350,Separator,Error,106.0,13.6,195.6
EQ-0351,Separator,Operational,115.3,8.7,118.8
EQ-0352,Reactor,Error,253.4,29.1,133.6
EQ-0353,Reactor,Operational,206.3,44.9,104.5
EQ-0354,Heat Exchanger,Operational,244.8,32.2,268.4
EQ-0355,Pump,Error,54.1,83.6,423.2
EQ-0356,Heat Exchanger,Offline,116.5,10.4,334.1
EQ-0357,Reactor,Operational,253.7,10.5,132.2
EQ-0358,Separator,Operational,139.3,18.9,272.4
EQ-0359,Reactor,Maintenance,160.3,27.4,53.6
EQ-0360,Heat Exchanger,Offline,184.2,19.7,338.2
EQ-0361,Pump,Operational,65.1,135.3,450.2
EQ-0362,Separator,Operational,75.7,17.5,262.5
EQ-0363,Separator,Operational,113.8,12.8,102.8
EQ-0364,Heat Exchanger,Operational,139.3,32.3,399.6
EQ-0365,Pump,Operational,69.4,66.4,271.4
EQ-0366,Heat Exchanger,Operational,185.1,37.6,121.8
EQ-0367,Heat Exchanger,Operational,146.7,35.5,352.7
EQ-0368,Separator,Operational,140.8,13.1,228.5
EQ-0369,Reactor,Operational,243.5,27.1,89.4
EQ-0370,Heat Exchanger,Operational,196.7,15.8,126.3
EQ-0371,Separator,Operational,68.9,17.7,216.2
EQ-0372,Reactor,Operational,175.7,32.6,143.9
EQ-0373,Separator,Operational,125.7,12.2,250.6
EQ-0374,Separator,Operational,99.5,12.2,193.2
EQ-0375,Separator,Operational,148.3,16.6,285.2
EQ-0376,Separator,Operational,110.7,14.1,169.9
EQ-0377,Reactor,Operational,264.3,45.9,83.9
EQ-0378,Separator,Operational,115.1,15.8,246.8
EQ-0379,Separator,Operational,126.2,11.9,145.6
EQ-0380,Separator,Operational,110.4,18.0,270.4
EQ-0381,Pump,Operational,63.6,122.2,342.8
EQ-0382,Separator,Operational,69.7,13.1,228.3
EQ-0383,Heat Exchanger,Operational,153.8,22.9,306.3
EQ-0384,Pump,Operational,66.1,122.7,359.6
EQ-0385,Heat Exchanger,Operational,108.7,20.5,213.4
EQ-0386,Heat Exchanger,Operational,94.9,15.2,359.1
EQ-0387,Reactor,Operational,306.5,24.3,69.9
EQ-0388,Separator,Operational,149.5,15.5,277.0
EQ-0389,Separator,Operational,53.8,13.4,187.7
EQ-0390,Reactor,Operational,196.6,14.4,129.6
EQ-0391,Separator,Operational,93.9,6.8,278.5
EQ-0392,Pump,Operational,25.4,78.3,247.2
EQ-0393,Pump,Operational,35.2,66.6,265.6
EQ-0394,Heat Exchanger,Operational,169.9,29.8,354.8
EQ-0395,Separator,Operational,116.4,8.9,117.7
EQ-0396,Pump,Operational,65.5,59.4,419.1
EQ-0397,Reactor,Operational,326.3,23.1,139.2
EQ-0398,Reactor,Operational,222.1,25.7,83.2
EQ-0399,Separator,Operational,57.0,11.3,236.2
EQ-0400,Separator,Operational,139.5,16.0,117.6
EQ-0401,Pump,Operational,65.7,68.0,285.6
EQ-0402,Separator,Error,129.1,14.6,277.1
EQ-0403,Separator,Operational,101.2,5.1,114.8
EQ-0404,Heat Exchanger,Operational,161.3,39.5,175.3
EQ-0405,Reactor,Operational,312.8,45.4,54.6
EQ-0406,Reactor,Operational,334.1,32.0,89.4
EQ-0407,Separator,Operational,142.0,9.1,158.7
EQ-0408,Reactor,Operational,253.4,47.1,112.0
EQ-0409,Pump,Operational,55.8,127.0,409.0
EQ-0410,Pump,Operational,48.5,64.5,309.4
EQ-0411,Separator,Operational,140.6,7.7,190.4
EQ-0412,Heat Exchanger,Operational,206.6,27.0,242.2
EQ-0413,Pump,Operational,77.0,93.2,461.0
EQ-0414,Separator,Operational,67.1,8.3,216.5
EQ-0415,Separator,Operational,56.9,15.5,200.1
EQ-0416,Pump,Operational,45.7,87.8,454.0
EQ-0417,Reactor,Operational,279.6,13.4,80.5
EQ-0418,Reactor,Operational,224.8,42.9,63.6
EQ-0419,Pump,Operational,79.7,63.6,205.3
EQ-0420,Pump,Operational,48.2,83.5,266.2
EQ-0421,Reactor,Operational,317.0,42.6,127.0
EQ-0422,Reactor,Operational,320.9,17.3,52.6
EQ-0423,Pump,Operational,40.9,72.3,435.8
EQ-0424,Reactor,Offline,223.5,25.2,67.0
EQ-0425,Reactor,Operational,340.0,30.5,81.8
EQ-0426,Heat Exchanger,Operational,210.5,36.4,315.7
EQ-0427,Heat Exchanger,Operational,215.4,21.0,293.1
EQ-0428,Heat Exchanger,Operational,99.4,22.2,374.5
EQ-0429,Separator,Operational,106.1,8.6,232.3
EQ-0430,Heat Exchanger,Offline,244.2,19.7,223.4
EQ-0431,Heat Exchanger,Operational,99.9,11.5,300.4
EQ-0432,Pump,Operational,77.0,87.6,491.8
EQ-0433,Heat Exchanger,Operational,173.5,34.6,347.3
EQ-0434,Separator,Operational,75.8,10.6,142.6
EQ-0435,Reactor,Operational,281.3,28.6,82.3
EQ-0436,Separator,Error,73.9,6.0,284.3
EQ-0437,Heat Exchanger,Maintenance,172.7,35.1,214.9
EQ-0438,Pump,Operational,72.9,127.5,429.8
EQ-0439,Pump,Error,67.9,144.6,230.4
EQ-0440,Reactor,Operational,179.2,46.9,128.7
EQ-0441,Reactor,Operational,233.8,15.5,133.8
EQ-0442,Pump,Operational,47.7,126.3,256.0
EQ-0443,Heat Exchanger,Operational,90.3,24.5,176.5
EQ-0444,Pump,Operational,41.9,144.6,429.7
EQ-0445,Reactor,Operational,284.6,27.0,92.4
EQ-0446,Reactor,Operational,228.9,45.9,51.2
EQ-0447,Separator,Offline,54.5,10.1,103.4
EQ-0448,Heat Exchanger,Operational,88.7,37.4,121.4
EQ-0449,Separator,Operational,87.2,6.3,108.2
EQ-0450,Reactor,Operational,343.5,15.3,143.1
EQ-0451,Separator,Operational,60.5,7.5,259.2
EQ-0452,Reactor,Operational,312.2,16.0,62.7
EQ-0453,Separator,Operational,61.3,5.3,294.0
EQ-0454,Reactor,Operational,344.2,36.0,101.8
EQ-0455,Reactor,Operational,183.9,40.5,60.9
EQ-0456,Reactor,Maintenance,339.2,17.4,144.1
EQ-0457,Reactor,Operational,235.3,33.8,80.0
EQ-0458,Reactor,Operational,275.9,48.9,113.3
EQ-0459,Heat Exchanger,Operational,138.1,34.4,334.8
EQ-0460,Reactor,Operational,151.0,34.0,80.0
EQ-0461,Separator,Operational,113.5,14.9,154.3
EQ-0462,Pump,Operational,30.8,78.2,302.1
EQ-0463,Separator,Operational,67.7,10.1,113.1
EQ-0464,Pump,Operational,40.0,144.2,367.3
EQ-0465,Separator,Operational,74.2,5.8,239.1
EQ-0466,Heat Exchanger,Operational,205.5,16.2,287.6
EQ-0467,Heat Exchanger,Operational,110.7,38.9,350.2
EQ-0468,Separator,Operational,60.8,12.6,275.3
EQ-0469,Separator,Operational,119.4,17.4,183.0
EQ-0470,Separator,Operational,127.3,17.3,108.8
EQ-0471,Reactor,Offline,325.3,38.1,145.8
EQ-0472,Separator,Operational,131.2,11.6,150.3
EQ-0473,Pump,Operational,48.3,74.6,317.6
EQ-0474,Separator,Operational,129.3,16.1,266.8
EQ-0475,Separator,Maintenance,138.1,5.7,296.7
EQ-0476,Pump,Operational,41.8,103.2,482.9
EQ-0477,Heat Exchanger,Offline,184.8,39.8,337.4
EQ-0478,Reactor,Operational,154.6,41.4,101.9
EQ-0479,Pump,Operational,51.4,97.1,268.7
EQ-0480,Separator,Operational,143.3,14.6,258.5
EQ-0481,Reactor,Operational,166.0,30.9,88.7
EQ-0482,Reactor,Operational,210.1,16.2,110.4
EQ-0483,Pump,Error,70.9,95.0,292.8
EQ-0484,Heat Exchanger,Operational,235.9,38.9,387.8
EQ-0485,Separator,Operational,143.2,14.0,123.4
EQ-0486,Pump,Offline,38.3,83.0,367.3
EQ-0487,Pump,Operational,23.0,96.9,453.4
EQ-0488,Reactor,Operational,163.4,24.1,96.1
EQ-0489,Heat Exchanger,Operational,161.9,27.3,192.2
EQ-0490,Separator,Operational,125.8,9.6,272.3
EQ-0491,Separator,Operational,56.3,7.1,229.9
EQ-0492,Separator,Operational,129.2,19.9,146.6
EQ-0493,Heat Exchanger,Operational,139.9,10.9,355.2
